Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Китай (NoName) 1P72MN (LH173MN)
              ","
$ 3 000
                                                             
                                                                                   264 420 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/7/d/f7dd5ca6d8346be12f24fcea1cb87a6d_240x180.jpg,        мотоцикл                    
"
        Honda PCX
              ","
$ 2 836
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/4/e/54e214b8e6c25d9f0d0bcbd3d5ad60c7_240x180.jpg,        скутер                    
"
        Ducati Diavel
              ","
$ 12 500
                                                             
                                                                                   1 101 750 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/3/4/9341483bce30df9953c4abdced185f2c_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 15 000
                                                             
                                                                                   1 322 100 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/2/8/82896bec9425619fa863e6fa7c7b0458_240x180.jpg,        мотовездеход                    
"
        Triumph Tiger
              ","
$ 11 000
                                                             
                                                                                   969 540 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/7/7/877056d746274d8d16452661cca8f1c9_240x180.jpg,        мотоцикл                    
"
        BMW F 850 GS
              ","
$ 13 700
                                                             
                                                                                   1 207 518 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/e/9/5e907fdad1d81ebb42548cca76907906_240x180.jpg,        мотоцикл                    
"
        BMW C 650 GT
              ","
$ 420
                                                             
                                                                                   37 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/0/4c0dc0bab3085150d10e884521c2e43b_240x180.jpg,        скутер                    
"
        Kawasaki Z 800
              ","
$ 8 500
                                                             
                                                                                   749 190 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/7/1/d71177dad48e6e8fa7970faa20568bf1_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 340
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/a/3/4a3de012b2cf635f2b0ba0e3f0ec4f41_240x180.jpg,        скутер                    
"
        Zongshen CQR-250
              ","
$ 1 418
                                                             
                                                                                   125 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/6/6/066f86244b914bd409ca73fe6fee0c33_240x180.jpg,        мотоцикл                    
